MSZoning,Neighborhood,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,Fireplaces,TotalBsmtSF,SalePrice
RL,NAmes,70.0,8400,5,6,1957,1957,1314,1,3,TA,1,294,0,1314,145000
RL,Gilbert,59.0,7837,6,7,1993,1994,1571,2,3,TA,2,380,1,799,178000
RL,Edwards,67.0,8777,5,7,1910,1950,796,1,2,TA,0,0,0,796,85000
RL,SWISU,60.0,7200,5,7,1937,1950,1768,1,3,Gd,1,240,2,731,175000
RL,SWISU,50.0,5000,5,6,1924,1950,1691,2,3,Gd,1,308,1,1026,127000
RL,CollgCr,70.0,9800,5,7,1972,1972,894,1,3,TA,2,552,0,894,149900
RL,Gilbert,122.0,11911,6,5,2005,2005,1560,2,3,Gd,2,400,1,684,174000
RM,IDOTRR,40.0,5436,4,8,1922,2007,1154,1,3,Gd,1,240,0,796,125500
RL,NWAmes,78.0,12090,6,6,1981,1981,1422,2,3,Gd,2,576,1,1422,175500
RL,Somerst,76.0,9158,8,5,2007,2007,1496,2,3,Gd,2,474,0,1496,225000
RL,Sawyer,70.0,8400,6,5,1966,1966,913,1,3,TA,1,240,0,814,129000
RL,NAmes,85.0,13400,5,5,1966,1966,1086,1,3,TA,2,484,1,1024,159950
RL,NWAmes,82.0,11880,7,5,1978,1978,1601,2,3,TA,2,478,1,1271,157000
RL,NAmes,85.0,13600,7,6,1965,1990,1986,2,3,TA,2,486,3,768,205000
RL,NWAmes,80.0,9600,7,5,1969,1969,1164,1,3,TA,2,528,0,1164,140000
RL,Gilbert,,8068,6,5,2002,2002,2267,2,4,Gd,2,390,1,1010,200000
RL,Crawfor,,21000,6,5,1953,1953,2259,2,3,Gd,2,450,2,1809,217000
RM,OldTown,49.0,8235,5,7,1955,1995,825,1,2,TA,2,720,0,825,125000
RL,Edwards,75.0,7950,6,6,1977,1977,1426,1,3,TA,2,440,0,690,159500
